CompanyName,Revenue,COGS,GrossProfit,OperatingExpenses,OperatingIncome,NetIncome,PeriodStartEnd,FileName
DIPPED PRODUCTS PLC,"46,386,667","34,556,902","11,829,765","4,850,611","7,191,273","5,833,327",2021-04-01 - 2021-06-30,dipd_30-06-2021.pdf
DIPPED PRODUCTS PLC,"55,293,983","44,561,333","10,732,650","6,206,450","833,407","5,382,651",2022-04-01 - 2022-06-30,dipd_30-06-2022.pdf
DIPPED PRODUCTS PLC,"80,099,312","60,490,240","19,609,072","10,747,691","2,747,078","8,502,424",2023-04-01 - 2023-06-30,dipd_30-06-2023.pdf
DIPPED PRODUCTS PLC,"19,186,326","(15,665,738)","3,520,588","(8,193,104)","819,820","5,779,045",2024-04-01 - 2024-06-30,dipd_30-06-2024.pdf
DIPPED PRODUCTS PLC,"20,279,212","15,530,755","4,748,457","3,183,776","2,800,373","2,110,337",2020-07-01 - 2020-09-30,dipd_30-09-2021.pdf
DIPPED PRODUCTS PLC,"21,263,582","(16,614,963)","4,648,619","(6,206,450)","134,387","1,827,312",2022-07-01 - 2022-09-30,dipd_30-09-2022.pdf
DIPPED PRODUCTS PLC,"36,824,185","(29,123,404)","7,700,781","(10,747,691)","212,575","1,863,113",2023-07-01 - 2023-09-30,dipd_30-09-2023.pdf
DIPPED PRODUCTS PLC,"17,059,046","8,159,588","8,899,458","5,222,414","3,677,044","2,119,244",2024-07-01 - 2024-09-30,dipd_30-09-2024.pdf
DIPPED PRODUCTS PLC,"13,793,391","10,109,673","3,683,718","1,257,251","247,410","1,953,741",2021-01-01 - 2021-03-31,dipd_31-03-2021.pdf
Dipped Products PLC,"12,550,438","10,174,187","2,376,251","1,811,340","460,652","3,011,102",2022-01-01 - 2022-03-31,dipd_31-03-2022.pdf
DIPPED PRODUCTS PLC,"18,518,298","13,171,748","5,346,550","3,012,379","2,382,864","1,500,437",2023-01-01 - 2023-03-31,dipd_31-03-2023.pdf
DIPPED PRODUCTS PLC,"19,076,054","13,583,528","5,492,526","10,149,466","496,056","5,737,977",2024-01-01 - 2024-03-31,dipd_31-03-2024.pdf
DIPPED PRODUCTS PLC,"12,730,290","(10,421,358)","2,308,932","(4,849,611)","340,669","927,179",2021-10-01 - 2021-12-31,dipd_31-12-2021.pdf
DIPPED PRODUCTS PLC,"14,262,521","10,732,650","3,531","6,206,450","531,279","922,039",2022-10-01 - 2022-12-31,dipd_31-12-2022.pdf
DIPPED PRODUCTS PLC,"18,041,721","(14,175,982)","3,865,739","(2,638,729)","328,400","2,779,338",2023-10-01 - 2023-12-31,dipd_31-12-2023.pdf
DIPPED PRODUCTS PLC,"19,343,267","(15,514,434)","3,828,833","(8,193,104)","819,820","3,276,732",2024-10-01 - 2024-12-31,dipd_31-12-2024.pdf
Richard Pieris Exports PLC,"1,400,300","955,738","444,562","239,819","210,215","199,444",2021-04-01 - 2021-06-30,rich_30-06-2021.pdf
Richard Pieris Exports PLC,"2,767,931","1,735,091","1,032,840","580,822","458,611","991,673",2022-04-01 - 2022-06-30,rich_30-06-2022.pdf
Richard Pieris Exports PLC,"1,474,458","1,275,967","198,491","251,260","7,778","-142,922",2023-04-01 - 2023-06-30,rich_30-06-2023.pdf
Richard Pieris Exports PLC,"1,682,540","1,439,393","243,147","193,767","5,526","14,640",2024-04-01 - 2024-06-30,rich_30-06-2024.pdf
Richard Pieris Exports PLC,"1,754,079","1,155,680","598,399","324,984","279,132","243,320",2021-07-01 - 2021-09-30,rich_30-09-2021.pdf
Richard Pieris Exports PLC,"2,661,097","1,979,877","681,220","469,543","217,655","250,235",2022-07-01 - 2022-09-30,rich_30-09-2022.pdf
Richard Pieris Exports PLC,"2,069,984","1,661,929","408,055","305,416","113,159","175,867",2023-07-01 - 2023-09-30,rich_30-09-2023.pdf
Richard Pieris Exports PLC,"2,139,733","1,707,131","432,602",440,"8,217","-53,830",2024-07-01 - 2024-09-30,rich_30-09-2024.pdf
Richard Pieris Exports PLC,"1,344,850","921,087","423,763","165,392","267,524","294,845",2021-01-01 - 2021-03-31,rich_31-03-2021.pdf
Richard Pieris Exports PLC,"1,604,137","1,037,979","566,158","411,158","169,189","1,033,224",2022-01-01 - 2022-03-31,rich_31-03-2022.pdf
Richard Pieris Exports PLC,"1,702,720","1,234,766","467,954","427,301","40,653","-247,433",2023-01-01 - 2023-03-31,rich_31-03-2023.pdf
Richard Pieris Exports PLC,"1,486,128","1,123,186","362,942","238,102","10,240","(69,640)",2024-01-01 - 2024-03-31,rich_31-03-2024.pdf
Richard Pieris Exports PLC,"1,778,416","1,202,429","575,987","376,883","205,982","181,894",2021-10-01 - 2021-12-31,rich_31-12-2021.pdf
Richard Pieris Exports PLC,"1,909,048","1,487,153","421,895","(308,958)","7,125","52,543",2022-10-01 - 2022-12-31,rich_31-12-2022.pdf
Richard Pieris Exports PLC,"2,089,873","1,670,217","419,656","344,182","75,474","70,768",2023-10-01 - 2023-12-31,rich_31-12-2023.pdf
Richard Pieris Exports PLC,"1,941,892","1,607,594","334,298","286,275","6,051","-53,988",2024-10-01 - 2024-12-31,rich_31-12-2024.pdf
