company_name,revenue,cogs,gross_profit,opex,operating_income,net_income,period_start,period_end,filename,quarter
Richard Pieris Exports PLC,1344850.0,921087.0,423763.0,168892.0,260524.0,294845.0,2021-01-01,2021-03-31,rich_31-03-2021.pdf,2020-Q4
DIPPED PRODUCTS PLC,13793391.0,10109673.0,3683718.0,1605861.0,2241793.0,1953741.0,2021-01-01,2021-03-31,dipd_31-03-2021.pdf,2020-Q4
DIPPED PRODUCTS PLC,16781921.0,13441706.0,3340215.0,4850611.0,-365419.0,5833327.0,2021-04-01,2021-06-30,dipd_30-06-2021.pdf,2021-Q1
Richard Pieris Exports PLC,1400300.0,955738.0,444562.0,239819.0,210215.0,199429.0,2021-04-01,2021-06-30,rich_30-06-2021.pdf,2021-Q1
DIPPED PRODUCTS PLC,20279212.0,15530755.0,4748457.0,2097269.0,2726066.0,2110337.0,2021-07-01,2021-09-30,dipd_30-09-2021.pdf,2021-Q2
Richard Pieris Exports PLC,1754079.0,1155680.0,598399.0,324984.0,279132.0,243320.0,2021-07-01,2021-09-30,rich_30-09-2021.pdf,2021-Q2
DIPPED PRODUCTS PLC,12730290.0,10421358.0,2308932.0,4850611.0,-2430730.0,5833327.0,2021-10-01,2021-12-31,dipd_31-12-2021.pdf,2021-Q3
Richard Pieris Exports PLC,1778416.0,1202429.0,575987.0,376883.0,205982.0,181894.0,2021-10-01,2021-12-31,rich_31-12-2021.pdf,2021-Q3
Richard Pieris Exports PLC,1604137.0,1037979.0,566158.0,419096.0,153313.0,1033224.0,2022-01-01,2022-03-31,rich_31-03-2022.pdf,2021-Q4
DIPPED PRODUCTS PLC,12550438.0,10174187.0,2376251.0,1811340.0,1025563.0,3011102.0,2022-01-01,2022-03-31,dipd_31-03-2022.pdf,2021-Q4
DIPPED PRODUCTS PLC,55293983.0,44561333.0,10732650.0,6206450.0,5359607.0,6410800.0,2022-04-01,2022-06-30,dipd_30-06-2022.pdf,2022-Q1
Richard Pieris Exports PLC,2767931.0,1735091.0,1032840.0,580822.0,458611.0,991673.0,2022-04-01,2022-06-30,rich_30-06-2022.pdf,2022-Q1
DIPPED PRODUCTS PLC,10732650.0,10524082.0,208568.0,6206450.0,-5863495.0,1827312.0,2022-07-01,2022-09-30,dipd_30-09-2022.pdf,2022-Q2
Richard Pieris Exports PLC,2661097.0,1979877.0,681220.0,469543.0,217655.0,250235.0,2022-07-01,2022-09-30,rich_30-09-2022.pdf,2022-Q2
Richard Pieris Exports PLC,1909048.0,1487153.0,421895.0,417518.0,11502.0,52543.0,2022-10-01,2022-12-31,rich_31-12-2022.pdf,2022-Q3
DIPPED PRODUCTS PLC,14262521.0,10732650.0,3529871.0,6206450.0,-2145300.0,922039.0,2022-10-01,2022-12-31,dipd_31-12-2022.pdf,2022-Q3
DIPPED PRODUCTS PLC,19609071.0,13171748.0,6437323.0,3042379.0,3630413.0,1500437.0,2023-01-01,2023-03-31,dipd_31-03-2023.pdf,2022-Q4
Richard Pieris Exports PLC,1702720.0,1234766.0,467954.0,427301.0,48620.0,-247409.0,2023-01-01,2023-03-31,rich_31-03-2023.pdf,2022-Q4
Richard Pieris Exports PLC,1474458.0,1275967.0,198491.0,251260.0,-44991.0,-142907.0,2023-04-01,2023-06-30,rich_30-06-2023.pdf,2023-Q1
DIPPED PRODUCTS PLC,80099312.0,60490240.0,19609072.0,10747691.0,9628129.0,8502424.0,2023-04-01,2023-06-30,dipd_30-06-2023.pdf,2023-Q1
DIPPED PRODUCTS PLC,41994058.0,31989523.0,10004535.0,10747691.0,-540277.0,1863113.0,2023-07-01,2023-09-30,dipd_30-09-2023.pdf,2023-Q2
Richard Pieris Exports PLC,2069984.0,1661929.0,408055.0,305416.0,113159.0,175867.0,2023-07-01,2023-09-30,rich_30-09-2023.pdf,2023-Q2
Richard Pieris Exports PLC,2089873.0,1670217.0,419656.0,344182.0,87501.0,70768.0,2023-10-01,2023-12-31,rich_31-12-2023.pdf,2023-Q3
DIPPED PRODUCTS PLC,80099312.0,60490240.0,19609072.0,10747691.0,9628129.0,2779338.0,2023-10-01,2023-12-31,dipd_31-12-2023.pdf,2023-Q3
DIPPED PRODUCTS PLC,19076054.0,13583528.0,5492526.0,10149466.0,-4160884.0,5737977.0,2024-01-01,2024-03-31,dipd_31-03-2024.pdf,2023-Q4
Richard Pieris Exports PLC,1486128.0,1123186.0,362942.0,238102.0,135080.0,-69608.0,2024-01-01,2024-03-31,rich_31-03-2024.pdf,2023-Q4
Richard Pieris Exports PLC,1682540.0,1439393.0,243147.0,274022.0,-25349.0,14640.0,2024-04-01,2024-06-30,rich_30-06-2024.pdf,2024-Q1
DIPPED PRODUCTS PLC,73941960.0,56882914.0,17059046.0,10149466.0,7729400.0,5779045.0,2024-04-01,2024-06-30,dipd_30-06-2024.pdf,2024-Q1
DIPPED PRODUCTS PLC,40463469.0,32303881.0,8159588.0,5222414.0,3221916.0,2119244.0,2024-07-01,2024-09-30,dipd_30-09-2024.pdf,2024-Q2
Richard Pieris Exports PLC,2139733.0,1707131.0,432602.0,440379.0,440.0,-53830.0,2024-07-01,2024-09-30,rich_30-09-2024.pdf,2024-Q2
DIPPED PRODUCTS PLC,19343267.0,15514434.0,3828833.0,10149466.0,-5765482.0,3276732.0,2024-10-01,2024-12-31,dipd_31-12-2024.pdf,2024-Q3
Richard Pieris Exports PLC,1941892.0,1607594.0,334298.0,366856.0,-26507.0,-53988.0,2024-10-01,2024-12-31,rich_31-12-2024.pdf,2024-Q3
